"start_line","module","page","heading","report_section","runtime_status"
"647","销售模块","3：外销合同","### 六、合同来源","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"656","销售模块","3：外销合同","### 七、由客户报价进入","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"675","销售模块","3：外销合同","### 八、正常新合同的创建方式","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"683","销售模块","3：外销合同","### 九、录入执行中合同","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"708","销售模块","3：外销合同","### 十、合同内容","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"712","销售模块","3：外销合同","（一）基本信息","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"729","销售模块","3：外销合同","（二）合同明细","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"742","销售模块","3：外销合同","（三）合同文件与补充信息","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"749","销售模块","3：外销合同","### 十一、新合同的上级确认","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"774","销售模块","3：外销合同","### 十二、合同签字","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"784","销售模块","3：外销合同","### 十三、页面操作","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"820","销售模块","3：外销合同","### 十四、合同状态","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"828","销售模块","3：外销合同","### 十五、与采购模块的交互","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"842","销售模块","3：外销合同","### 十六、与物流模块的交互","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"855","销售模块","3：外销合同","### 十七、与财务模块的交互","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"871","销售模块","3：外销合同","### 十八、完整流程","S3","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"903","采购模块","总则","# 采购模块","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"905","采购模块","1：采购询价","## 页面 1：采购询价","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"907","采购模块","1：采购询价","### 一、页面用途","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"915","采购模块","1：采购询价","### 二、操作人员","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"928","采购模块","1：采购询价","### 三、数据来源","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"949","采购模块","1：采购询价","### 四、询价列表","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"980","采购模块","1：采购询价","### 五、一条询盘包含多个产品","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1004","采购模块","1：采购询价","### 六、查看询盘详情","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1024","采购模块","1：采购询价","### 七、多家工厂报价","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1040","采购模块","1：采购询价","### 八、一家工厂可以报价部分产品","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1054","采购模块","1：采购询价","### 九、工厂报价填写界面","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1074","采购模块","1：采购询价","### 十、产品报价表","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1095","采购模块","1：采购询价","### 十一、大量产品的处理","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1120","采购模块","1：采购询价","### 十二、保存和提交","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1141","采购模块","1：采购询价","### 十三、已提交的工厂报价","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1165","采购模块","1：采购询价","### 十四、修改报价","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1175","采购模块","1：采购询价","### 十五、页面操作","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1209","采购模块","1：采购询价","### 十六、页面状态","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1227","采购模块","1：采购询价","### 十七、销售撤回询价","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1246","采购模块","1：采购询价","### 十八、与销售模块的交互","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1260","采购模块","1：采购询价","### 十九、与采购订单的交互","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1271","采购模块","1：采购询价","### 二十、完整流程","P1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1294","采购模块","总则","# 采购模块","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1296","采购模块","2：采购订单","## 页面 2：采购订单","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1298","采购模块","2：采购订单","### 一、页面用途","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1309","采购模块","2：采购订单","### 二、进入采购订单的条件","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1327","采购模块","2：采购订单","### 三、数据来源","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1352","采购模块","2：采购订单","### 四、按工厂生成采购订单","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1377","采购模块","2：采购订单","### 五、不自动指定采购负责人","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1392","采购模块","2：采购订单","### 六、采购订单列表","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1410","采购模块","2：采购订单","### 七、查询条件","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1420","采购模块","2：采购订单","### 八、再次确认工厂报价","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1443","采购模块","2：采购订单","### 九、填写最终工厂报价","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1468","采购模块","2：采购订单","### 十、大量产品的处理","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1489","采购模块","2：采购订单","### 十一、保存和提交","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1509","采购模块","2：采购订单","### 十二、提交上级确认的内容","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1532","采购模块","2：采购订单","### 十三、采购上级确认","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1553","采购模块","2：采购订单","### 十四、签署采购合同","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1582","采购模块","2：采购订单","### 十五、提交财务付款","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1606","采购模块","2：采购订单","### 十六、财务付款","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1622","采购模块","2：采购订单","### 十七、采购订单状态","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1660","采购模块","2：采购订单","### 十八、页面操作","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1699","采购模块","2：采购订单","### 十九、与销售模块的交互","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1716","采购模块","2：采购订单","### 二十、与财务模块的交互","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1734","采购模块","2：采购订单","### 二十一、执行中合同的处理","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1746","采购模块","2：采购订单","### 二十二、完整流程","P2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1767","物流模块","总则","# 物流模块","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1769","物流模块","1：物流询价","## 页面 1：物流询价","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1771","物流模块","1：物流询价","### 一、页面用途","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1779","物流模块","1：物流询价","### 二、操作人员","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1792","物流模块","1：物流询价","### 三、数据来源","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1818","物流模块","1：物流询价","### 四、物流询价列表","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1848","物流模块","1：物流询价","### 五、一条询盘可以包含多个产品","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1867","物流模块","1：物流询价","### 六、查看询盘详情","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1889","物流模块","1：物流询价","### 七、多家货代报价","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1907","物流模块","1：物流询价","### 八、货代报价填写界面","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1931","物流模块","1：物流询价","### 九、运输费用","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1960","物流模块","1：物流询价","### 十、多种币种","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1974","物流模块","1：物流询价","### 十一、货物数量较多时的处理","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"1994","物流模块","1：物流询价","### 十二、保存和提交","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2015","物流模块","1：物流询价","### 十三、已提交的货代报价","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2038","物流模块","1：物流询价","### 十四、修改货代报价","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2048","物流模块","1：物流询价","### 十五、页面操作","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2082","物流模块","1：物流询价","### 十六、页面状态","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2100","物流模块","1：物流询价","### 十七、销售撤回询价","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2119","物流模块","1：物流询价","### 十八、与销售模块的交互","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2133","物流模块","1：物流询价","### 十九、与物流执行的交互","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2144","物流模块","1：物流询价","### 二十、完整流程","L1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2167","物流模块","总则","# 物流模块","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2169","物流模块","2：正式船期管理","## 页面 2：正式船期管理","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2171","物流模块","2：正式船期管理","### 一、页面用途","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2184","物流模块","2：正式船期管理","### 二、页面结构","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2200","物流模块","2：正式船期管理","### 三、进入正式船期管理的条件","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2215","物流模块","2：正式船期管理","### 四、数据来源","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2246","物流模块","2：正式船期管理","### 五、正式船期任务列表","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2275","物流模块","2：正式船期管理","### 六、船期任务详情","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2303","物流模块","2：正式船期管理","### 七、不自动指定物流负责人","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2318","物流模块","2：正式船期管理","### 八、再次确认货代报价","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2357","物流模块","2：正式船期管理","### 九、运输费用","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2386","物流模块","2：正式船期管理","### 十、保存和提交","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2406","物流模块","2：正式船期管理","### 十一、物流上级确认","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2451","物流模块","2：正式船期管理","### 十二、签署货代合同","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2481","物流模块","2：正式船期管理","### 十三、向财务申请付款","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2507","物流模块","2：正式船期管理","### 十四、财务付款","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2521","物流模块","2：正式船期管理","### 十五、正式船期执行","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2550","物流模块","2：正式船期管理","### 十六、多个运输批次","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2572","物流模块","2：正式船期管理","### 十七、与采购模块的交互","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2593","物流模块","2：正式船期管理","### 十八、船期提前提醒财务","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2628","物流模块","2：正式船期管理","### 十九、船期延后提醒采购","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2658","物流模块","2：正式船期管理","### 二十、提醒功能","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2685","物流模块","2：正式船期管理","### 二十一、与销售模块的交互","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2699","物流模块","2：正式船期管理","### 二十二、与财务模块的交互","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2726","物流模块","2：正式船期管理","### 二十三、页面状态","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2776","物流模块","2：正式船期管理","### 二十四、页面操作","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2832","物流模块","2：正式船期管理","### 二十五、执行中合同的处理","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2844","物流模块","2：正式船期管理","### 二十六、完整流程","L2","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2889","财务模块简化改造计划（讨论稿）","总则","# 财务模块简化改造计划（讨论稿）","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2891","财务模块简化改造计划（讨论稿）","总则","### 一、改造目标","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2924","财务模块简化改造计划（讨论稿）","总则","### 二、财务菜单顺序","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2942","财务模块简化改造计划（讨论稿）","总则","### 三、页面一：入账","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2944","财务模块简化改造计划（讨论稿）","总则","（一）页面用途","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2952","财务模块简化改造计划（讨论稿）","总则","（二）页面顶部","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2964","财务模块简化改造计划（讨论稿）","总则","（三）列表内容","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"2985","财务模块简化改造计划（讨论稿）","总则","（四）添加收款","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3007","财务模块简化改造计划（讨论稿）","总则","（五）确认合同可以执行","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3036","财务模块简化改造计划（讨论稿）","总则","（六）收款登记","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3060","财务模块简化改造计划（讨论稿）","总则","（七）详情记录","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3078","财务模块简化改造计划（讨论稿）","总则","（八）更多操作","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3098","财务模块简化改造计划（讨论稿）","总则","（九）完成规则","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3111","财务模块简化改造计划（讨论稿）","总则","### 四、页面二：出账","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3113","财务模块简化改造计划（讨论稿）","总则","（一）页面用途","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3124","财务模块简化改造计划（讨论稿）","总则","（二）采购付款如何进入出账","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3140","财务模块简化改造计划（讨论稿）","总则","（三）物流付款如何进入出账","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3156","财务模块简化改造计划（讨论稿）","总则","（四）出账列表","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3186","财务模块简化改造计划（讨论稿）","总则","（五）添加付款","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3218","财务模块简化改造计划（讨论稿）","总则","（六）付款登记","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3239","财务模块简化改造计划（讨论稿）","总则","（七）出账详情","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3263","财务模块简化改造计划（讨论稿）","总则","（八）更多操作","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3283","财务模块简化改造计划（讨论稿）","总则","（九）完成规则","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3303","财务模块简化改造计划（讨论稿）","总则","### 五、船期变化与财务提醒","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3305","财务模块简化改造计划（讨论稿）","总则","（一）提前到港提醒","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3333","财务模块简化改造计划（讨论稿）","总则","（二）船期延后提醒","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3350","财务模块简化改造计划（讨论稿）","总则","（三）保留原有提醒","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3369","财务模块简化改造计划（讨论稿）","总则","### 六、页面三：汇率","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3371","财务模块简化改造计划（讨论稿）","总则","（一）页面用途","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3379","财务模块简化改造计划（讨论稿）","总则","（二）页面内容","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3403","财务模块简化改造计划（讨论稿）","总则","### 七、跨模块完整流程","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3405","财务模块简化改造计划（讨论稿）","总则","（一）销售收款流程","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3415","财务模块简化改造计划（讨论稿）","总则","（二）采购付款流程","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3431","财务模块简化改造计划（讨论稿）","总则","（三）物流付款流程","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3447","财务模块简化改造计划（讨论稿）","总则","（四）船期提醒流程","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3461","财务模块简化改造计划（讨论稿）","总则","### 八、需要保留的现有功能","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3484","财务模块简化改造计划（讨论稿）","总则","### 九、本次需要新增或打通的功能","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3504","财务模块简化改造计划（讨论稿）","总则","### 十、明确不做的内容","F1/F2/F3/X1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3522","质检模块初步设计","总则","# 质检模块初步设计","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3524","质检模块初步设计","总则","### 一、模块用途","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3545","质检模块初步设计","总则","### 二、页面数量","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3562","质检模块初步设计","总则","### 三、质检任务如何产生","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3588","质检模块初步设计","总则","### 四、质检适用规则","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3594","质检模块初步设计","总则","### 五、待质检页面","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3627","质检模块初步设计","总则","### 六、质检详情","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3631","质检模块初步设计","总则","（一）订单信息","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3641","质检模块初步设计","总则","（二）产品明细","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3658","质检模块初步设计","总则","（三）质检资料","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3673","质检模块初步设计","总则","### 七、填写质检结果","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3699","质检模块初步设计","总则","### 八、质检合格","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3714","质检模块初步设计","总则","### 九、部分合格","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3728","质检模块初步设计","总则","### 十、质检不合格","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3743","质检模块初步设计","总则","### 十一、复检记录","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3767","质检模块初步设计","总则","### 十二、已完成页面","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3793","质检模块初步设计","总则","### 十三、权限建议","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3823","质检模块初步设计","总则","### 十四、与现有模块的交互","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3846","质检模块初步设计","总则","### 十五、简化原则","Q1质检任务","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3861","我的待办模块","总则","# 我的待办模块","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3863","我的待办模块","总则","一、模块用途","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3877","我的待办模块","总则","二、操作人员","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3883","我的待办模块","总则","三、待办数据来源","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3908","我的待办模块","总则","四、我的待办页面","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3919","我的待办模块","总则","五、待办列表","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3935","我的待办模块","总则","六、查询条件","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"3946","我的待办模块","总则","七、主要待办类型","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"4009","我的待办模块","总则","八、待办操作","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"4019","我的待办模块","总则","九、待办完成规则","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"4029","我的待办模块","总则","十、退回待办","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"4036","我的待办模块","总则","十一、紧急待办","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"4049","我的待办模块","总则","十二、已完成","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"4060","我的待办模块","总则","十三、权限","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"4066","我的待办模块","总则","十四、完整流程","T1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
"4080","角色与权限","总则","# 角色与权限","R1","未运行；见D0页级静态差异，索引不等于逐条验收通过"
